block,timestamp,totalLiquidity.value,totalLiquidity.token.address,datatokenCount,fixedCount,nftCount,poolCount
30462397,1657238400,2884030.003605418,0x282d8efce846a88b159800bd4130ad77443fa1a1,175,46,195,26
30502490,1657324800,1554370.427486919,0x282d8efce846a88b159800bd4130ad77443fa1a1,175,46,195,26
30541808,1657411200,2481522.6715636244,0x282d8efce846a88b159800bd4130ad77443fa1a1,175,46,195,26
30581985,1657497600,1561555.456779624,0x282d8efce846a88b159800bd4130ad77443fa1a1,175,46,195,26
30621439,1657584000,1039660.6103298937,0x282d8efce846a88b159800bd4130ad77443fa1a1,177,47,197,26
30659883,1657670400,945683.8790234656,0x282d8efce846a88b159800bd4130ad77443fa1a1,194,51,214,26
30696856,1657756800,649206.7667127441,0x282d8efce846a88b159800bd4130ad77443fa1a1,206,52,226,26
30731994,1657843200,468526.04986353166,0x282d8efce846a88b159800bd4130ad77443fa1a1,259,64,279,26
30768848,1657929600,408801.5663696101,0x282d8efce846a88b159800bd4130ad77443fa1a1,274,66,294,26
30803671,1658016000,408801.5663696101,0x282d8efce846a88b159800bd4130ad77443fa1a1,277,69,297,26
30841011,1658102400,408766.70798114577,0x282d8efce846a88b159800bd4130ad77443fa1a1,292,74,312,26
30878163,1658188800,408300.79750220047,0x282d8efce846a88b159800bd4130ad77443fa1a1,307,88,327,26
30915737,1658275200,408299.2178147005,0x282d8efce846a88b159800bd4130ad77443fa1a1,309,88,329,26
30955721,1658361600,408299.217814700462404242,0x282d8efce846a88b159800bd4130ad77443fa1a1,309,88,329,26
30992839,1658448000,408299.265556819190816267,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31029449,1658534400,406503.178087510442787286,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31066234,1658620800,406503.178087510442787286,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31103495,1658707200,406503.178087510442787286,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31138230,1658793600,406435.369441049527060937,0x282d8efce846a88b159800bd4130ad77443fa1a1,325,89,345,26
31175667,1658880000,351385.340150052153133832,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
31175667,1658880000,351385.340150052153133832,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
31175667,1658880000,351385.340150052153133832,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
31216080,1658966400,351240.061634757246634919,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
31175667,1658880000,351385.340150052153133832,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
31216080,1658966400,351240.061634757246634919,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
30915737,1658275200,408299.217814700462404242,0x282d8efce846a88b159800bd4130ad77443fa1a1,309,88,329,26
30955721,1658361600,408299.217814700462404242,0x282d8efce846a88b159800bd4130ad77443fa1a1,309,88,329,26
30992839,1658448000,408299.265556819190816267,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31029449,1658534400,406503.178087510442787286,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31066234,1658620800,406503.178087510442787286,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31103495,1658707200,406503.178087510442787286,0x282d8efce846a88b159800bd4130ad77443fa1a1,322,88,342,26
31138230,1658793600,406435.369441049527060937,0x282d8efce846a88b159800bd4130ad77443fa1a1,325,89,345,26
31175667,1658880000,351385.340150052153133832,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
31216080,1658966400,351240.061634757246634919,0x282d8efce846a88b159800bd4130ad77443fa1a1,328,92,348,26
