chainID,nft_addr,LP_addr,percent
137,0x5c60aebc6d440498b232f0ba42e0aae4e1cbe4b8,0xd13294fa603d9243fb9aeff338a5639ee1bd6599,0.1
137,0x70ad4e92329126dd543e0d6ed3ca87260a75e075,0xd13294fa603d9243fb9aeff338a5639ee1bd6599,0.1
1,0x248f9d0a3fd35183e5ee9e762defa5d07fff3705,0xf128f48aa68012e2010a1731c068c9af933f6832,1.0
